Expenditure Date,Payee Name,Address,Payee Type,Amount($),Committee Name,Expense Category,Expense Purpose,Expense Toward,Expense Method,Vendor,Fundtype,Comments
3/29/2021,Council for Advocacy and Policy Solution,1101 Wootton Pkwy  Rockville  Maryland 20852,Business/Group/Organization,12308,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,EFT,,Electoral,
3/30/2021,NGP Van,1445 New York Ave NW  Ste 200  Washington  District Of Columbia 20005,Business/Group/Organization,960,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Database Services
3/31/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,185,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,EFT,,Electoral,
3/31/2021,My Warchest  Inc,4200 Wisconsin Ave NW  Ste Pm 106  Washington  District Of Columbia 20016,Business/Group/Organization,260,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Database Services
4/1/2021,Google Gsuite,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,13,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscriptions
4/1/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,337,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
4/1/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,2638,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Taxes
4/1/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,4856,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Staff Payroll
4/5/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,135,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
4/6/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,25,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
4/7/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,31,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
4/9/2021,CFO Compliance,1 Park Row  Ste 5  Providence  Rhode Island 02903,Business/Group/Organization,2201,Blair  David for Montgomery,Salaries and Other compensation,Legal Fees - Compliance/Administrative,,Check,,Electoral,Compliance Services
